"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
23,"NCT03890952","Translational Study of Nivolumab in Combination With Bevacizumab for Recurrent Glioblastoma",,"Recruiting","No Results Available","Recurrent Adult Brain Tumor","Drug: Nivolumab|Drug: Bevacizumab","Number of indels as determined using mRNA sequencing|Progression-Free Survival (PFS)","Ulrik Lassen|Herlev Hospital|University of Copenhagen|Rigshospitalet, Denmark","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","CA209-9UP|2017-003925-13","October 1, 2018","February 1, 2022","August 1, 2022","March 26, 2019",,"March 26, 2019","Rigshospitalet, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT03890952"
24,"NCT03965494","AXL Inhibitor BGB324 in Treating Participants With Recurrent Glioblastoma Undergoing Surgery",,"Recruiting","No Results Available","Brain and Central Nervous System Tumors","Drug: BGB 324 (before surgery)|Drug: BGB 324 (after surgery)","Proportion of patients who achieve a drug concentration at >= 1.0 uM level in contrast enhancing tumor tissue|Change in AXL expression level|Pharmacokinetics as measured by plasma maximum concentration (Cmax) (ug/mL)|Pharmacokinetics as measured by plasma minimum concentration (Cmin) (ug/mL)|Pharmacokinetics as measured by area under the curve (AUC) (ug/mL*hr)|Toxicity as assessed by number of participants experiencing of adverse events|Overall survival|Progression-free survival","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)|BerGenBio ASA","All","18 Years to 120 Years   (Adult, Older Adult)","Early Phase 1","20","Other|NIH|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ABTC-1701|IRB00184546|UM1CA137443","January 2, 2020","December 1, 2022","December 1, 2023","May 29, 2019",,"March 30, 2020","Comprehensive Cancer Center at University of Alabama at Birmingham, Birmingham, Alabama, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Henry Ford Hospital, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03965494"
25,"NCT03341806","Avelumab With Laser Interstitial Therapy for Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma|GBM","Drug: Avelumab|Combination Product: MRI-guided LITT therapy","Dose Limiting Toxicity level|Objective response rate (ORR)|Progression-free survival|Overall response rate","Icahn School of Medicine at Mount Sinai","All","18 Years and older   (Adult, Older Adult)","Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCO 17-1866","June 28, 2018","September 2020","February 2021","November 14, 2017",,"September 20, 2019","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03341806"
26,"NCT03661723","Pembrolizumab and Reirradiation in Bevacizumab Naïve and Bevacizumab Resistant Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma","Drug: Pembrolizumab|Drug: Bevacizumab|Radiation: Re-irradiation","Objective response rate|Overall survival rate|Progression free survival|Duration of response|Safety & Tolerability: toxicities and grades experienced by participants","Dana-Farber Cancer Institute|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-277|3475-787","September 28, 2018","August 31, 2020","February 28, 2021","September 7, 2018",,"June 18, 2019","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Columbia University / Herbert Irving Comprehensive Cancer Center, New York, New York, United States|Hospital of the University of Pennsylvania, Abramson Cancer Center, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03661723"
27,"NCT02715297","Adjuvant Stereotactic Fractionated Radiotherapy to the Resection Cavity in Recurrent Glioblastoma","GlioCave/NOA17","Recruiting","No Results Available","Glioblastoma","Radiation: SRT to the resection cavity","Progression free survival (PFS) at 12 months|Overall survival|Number of participants with treatment-related adverse events as assessed by CTCAE v4.03|Quality of Life questionnaire|Neurocognitive function","Technische Universität München|Helmholtz Zentrum München","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","162","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RadOnc MRI TUM - 1","February 2016","February 2023","February 2023","March 22, 2016",,"March 10, 2020","Dept. Radiation Oncology, Munich, Bavaria, Germany",,"https://ClinicalTrials.gov/show/NCT02715297"
28,"NCT02669173","Capecitabine + Bevacizumab in Patients With Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma","Drug: Capecitabine|Drug: Bevacizumab","Change of concentration in circulating MDSCs after treatment with low dose capecitabine|Concentration of MDSCs in resected glioblastoma after treatment with low dose capecitabine|Concentration of T-regulatory cells after treatment with low dose capecitabine|Number of participants with adverse events relating to treatment with low-dose capecitabine alone as assessed by CTCAE v4.0|Number of participants with adverse events relating to treatment with low-dose capecitabine combined with bevacizumab as assessed by CTCAE v4.0","Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE7315","April 20, 2016","June 2020","November 2020","February 1, 2016",,"January 28, 2020","Cleveland Clinic Taussig Cancer institute, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02669173"
29,"NCT02709226","Dose Escalation Trial of Re-irradiation in Good Prognosis Recurrent Glioblastoma",,"Recruiting","No Results Available","Astrocytoma, Grade IV|Giant Cell Glioblastoma|Glioblastoma Multiforme|Gliosarcoma","Radiation: Radiation","To determine maximum tolerated re-irradiation dose (MTD)|To determine progression free survival and overall survival|To determine late toxicity secondary to re-irradiation|To determine QOL and impact on neurocognition in the settingof re-irradiation of recurrent glioblastoma","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1","24","NIH","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","160081|16-C-0081","June 15, 2016","October 30, 2020","October 30, 2025","March 16, 2016",,"March 26, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02709226"
30,"NCT03233152","Intra-tumoral Ipilimumab Plus Intravenous Nivolumab Following the Resection of Recurrent Glioblastoma","GlitIpNi","Recruiting","No Results Available","Glioblastoma","Drug: Ipilimumab (YervoyTM, 50 mg/10 mL solution)|Drug: Nivolumab (OpdivoTM, 40 mg/4mL solution)","Progression-free survival (PFS)|Overall Survival (OS)","Universitair Ziekenhuis Brussel","All","18 Years and older   (Adult, Older Adult)","Phase 1","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2016-BN-002","November 17, 2016","November 17, 2019","November 17, 2019","July 28, 2017",,"January 23, 2019","Universitair Ziekenhuis Brussel, Brussels, Belgium",,"https://ClinicalTrials.gov/show/NCT03233152"
31,"NCT04074785","Pilot Study of Abemaciclib With Bevacizumab in Recurrent Glioblastoma Patients With Loss of CDKN2A/B or Gain or Amplification of CDK4/6",,"Recruiting","No Results Available","GBM|Glioblastoma|Brain Tumor|Brain Tumor, Recurrent","Drug: Abemaciclib|Drug: Bevacizumab","Safety|Overall Survival|Progression Free Survival","University of Texas Southwestern Medical Center","All","18 Years to 99 Years   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SCCC-06319; STU-2019-1214","December 13, 2019","October 24, 2021","October 24, 2022","August 30, 2019",,"January 7, 2020","UT Southwestern Medical Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04074785"
32,"NCT02663271","TTFields and Pulsed Bevacizumab for Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioblastoma Multiforme|Glioblastoma|Malignant Glioma|GBM","Drug: Bevacizumab|Device: Optune|Other: Brain MRI|Other: Quality of Life Questionnaires","Progression-free survival between the groups|Number of adverse events|Karnofsky Performance Scale|Mini-Mental Status Exam|Response Assessment in Neuro-Oncology (RANO) Measurement Form","University of Florida|NovoCure Ltd.","All","22 Years and older   (Adult, Older Adult)","Phase 2","18","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB201600074|OCR14874","August 2016","March 15, 2021","March 15, 2021","January 26, 2016",,"March 2, 2020","University of Florida, Gainesville, Florida, United States|Washington University, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT02663271"
33,"NCT03294486","Safety and Efficacy of the ONCOlytic VIRus Armed for Local Chemotherapy, TG6002/5-FC, in Recurrent Glioblastoma Patients","ONCOVIRAC","Recruiting","No Results Available","Glioblastoma|Brain Cancer","Drug: Combination of TG6002 and 5-flucytosine (5-FC, Ancotil®)","Number of Participant with Dose Limiting Toxicities defined as Any of the following treatment-related adverse events (AEs) is evaluated and reported from Day 1 through Day 26; as assessed by NCI-CTCAE, version 4.03|Number of patients without documented tumor progression at 6 months from date of first TG6002 infusion according to Response Assessment Neuro-Oncology Criteria (Wen et al., 2010, JCO, PMID:20231676)|TG6002 recommended dose prior to the Phase 2a part of the study (RP2D) in combination with 5-FC (Maximum Plasma Concentration [Cmax])|Overall Survival (OS)|Relative quantification of circulating viral DNA|Blood pharmacokinetics of 5-FC|Blood pharmacokinetics of 5-Fluorouraril (5-FU)|Blood pharmacokinetics of final metabolite a-fluoro-B-alanine(FBAL)|Viral shedding in saliva, urine and feces|Humoral response|Isolation of peripheral blood mononuclear cells (PBMC);|Metabolic Response|Safety and tolerability : Incidence of Treatment; evaluation of treatement-releated adverse events","Assistance Publique - Hôpitaux de Paris|Transgene","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","78","Other|Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P150936|2015-004452-21","October 12, 2017","May 2019","September 2021","September 27, 2017",,"November 6, 2017","Groupe Hospitalier Pitié-Salpêtrière, Paris, France",,"https://ClinicalTrials.gov/show/NCT03294486"
34,"NCT03025893","A Phase II/III Study of High-dose, Intermittent Sunitinib in Patients With Recurrent Glioblastoma Multiforme","STELLAR","Recruiting","No Results Available","Glioblastoma Multiforme|Glioblastoma, Adult|Glioblastoma|Recurrent Brain Tumor|GBM","Drug: Sunitinib|Drug: Lomustine","Six-month progression-free survival (PFS-6)|Overall survival (OS)|Objective radiological response rate|Adverse events (AEs)|Health-related quality of life (HRQoL)|Blood markers (TEP: tumor educated platelets, and miRNA)|MGMT promoter methylation status","VU University Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2016.221","August 31, 2018","January 2020","January 2020","January 20, 2017",,"August 30, 2019","VU University Medical Center, Amsterdam, Netherlands|University Medical Center Groningen, Groningen, Netherlands",,"https://ClinicalTrials.gov/show/NCT03025893"
35,"NCT01954576","NovoTTF Therapy in Treating Patients With Recurrent Glioblastoma Multiforme",,"Recruiting","No Results Available","Glioblastoma|Brain Neoplasms","Device: NovoTTF-100A|Procedure: Quality-of-life assessment|Genetic: Laboratory biomarker analysis","ORR (CR + PR + SD) (bevacizumab-naive)|ORR (CR + PR + SD) (bevacizumab-refractory)|Genetic signature of response (CR + PR + SD)|Genetic signature of response (CR + PR) and SD|Progression-free survival in bevacizumab-naïve and bevacizumab-refractory glioblastoma patients|Quality of Life","University of Florida|Washington University School of Medicine|NovoCure Inc.","All","22 Years and older   (Adult, Older Adult)","Not Applicable","26","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB201500287|09-27-2013|201306042|OCR14655","October 10, 2013","December 2020","March 2022","October 7, 2013",,"March 2, 2020","University of Florida, Gainesville, Florida, United States|Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT01954576"
36,"NCT04222309","Laparoscopically Harvested Omental Free Tissue Autograft to Bypass the Blood Brain Barrier (BBB) in Human Recurrent Glioblastoma Multiforme (rGBM)",,"Recruiting","No Results Available","Glioma|Glioma, Malignant|Glioblastoma|Glioblastoma Multiforme|Glioblastoma Multiforme of Brain|GBM|Brain Cancer","Procedure: Laparoscopically harvested omental free flap","Safety parameter: proportion of patients experiencing rapidly progressive disease as indicated by MRI using RANO Criteria|Safety parameter: proportion of patients experiencing increase in seizures, stroke, and infection|Progression Free Survival (PFS)|Overall Survival (OS)|Percent of screen fails","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19-0801","January 6, 2020","January 31, 2022","January 31, 2022","January 9, 2020",,"January 9, 2020","Lenox Hill Brain Tumor Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04222309"
37,"NCT02761070","Bevacizumab Alone Versus Dose-dense Temozolomide Followed by Bevacizumab for Recurrent Glioblastoma, Phase III","RE-GEND","Recruiting","No Results Available","Glioblastoma|Recurrence|Progression","Drug: Temozolomide|Drug: Bevacizumab","Overall survival|Progression-free survival (PFS)|6-month progression-free survival (6m-PFS)|Complete response rate|Response rate|Adverse events|Serious adverse events|Progression-free survival (PFS) from bevacizumab (BEV) initiation|6-month progression-free survival (6m-PFS) after initiation of bevacizumab (BEV) (Experimental Arm Only)|Overall survival after initiation of bevacizumab (BEV)","Kyorin University|Japan Clinical Oncology Group","All","20 Years to 75 Years   (Adult, Older Adult)","Phase 3","210","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","JCOG1308C","July 11, 2016","July 10, 2022","July 10, 2023","May 4, 2016",,"February 27, 2019","Nagoya University Hospital, Nagoya, Aichi, Japan|Fujita Health University Hospital, Toyoake, Aichi, Japan|Hirosaki University School of Medicine, Hirosaki, Aomori, Japan|Ehime University Graduate School of Medicine, Shizukawa, Ehime, Japan|Sapporo Medical University Hospital, Sapporo, Hokkaido, Japan|Kobe University Hospital, Kobe, Hyougo, Japan|University of Tsukuba Hospital, Tsukuba, Ibaraki, Japan|Iwate Medical University, Morioka, Iwate, Japan|Tohoku University Graduate School of Medicine, Sendai, Miyagi, Japan|Kansai Medical University, Hirakata, Osaka, Japan|Osaka University Graduate School of Medicine, Suita, Osaka, Japan|Saitama Medical University International Medical Center, Hidaka, Saitama, Japan|Dokkyo Medical University, Shimotsuge, Tochigi, Japan|Tokyo Medical And Dental University, Medical Hospital, Bunkyō-Ku, Tokyo, Japan|Chiba University Hospital, Chiba, Japan|Kusyu University Graduate School of Medical Sciences, Fukuoka, Japan|Hiroshima University Hospital, Hiroshima, Japan|Kagoshima University Graduate School of Medical and Dental Sciences, Kagoshima, Japan|Kitasato University School of Medicine, Kanagawa, Japan|Kumamoto University Hospital, Kumamoto, Japan|Kyoto University Graduate School of Medicine, Kyoto, Japan|Niigata University Medical & Dental Hospital, Niigata, Japan|Okayama University Hospital, Okayama, Japan|Osaka International Cancer Institute, Osaka, Japan|Nakamura Memorial Hospital, Sapporo, Japan|Hokkaido University Graduate School of Medicine, Sapporo, Japan|Shizuoka Canser Center Hospital, Shizuoka, Japan|National Cancer Center Hospital, Tokyo, Japan|The University of Tokyo Hospital, Tokyo, Japan|Keio University Hospital, Tokyo, Japan|Nihon University School of Medicine Itabashi Hospital, Tokyo, Japan|Kyorin University Faculty of Medicine, Department of Neurosurgery, Tokyo, Japan|Yamagata University Hospital, Yamagata, Japan",,"https://ClinicalTrials.gov/show/NCT02761070"
38,"NCT03997617","Personalized Functional Profiling in Metastatic Gastrointestinal Cancer or Recurrent Glioblastoma Patients in Luxembourg.",,"Recruiting","No Results Available","Oncology","Diagnostic Test: Personalized Functional Profiling","Number of patients for which a treatment recommendation for their specific cancer can be formulated, based on PFP|Quantity of cells needed for the PFP analysis|Duration of the PFP process for one specific patient|Number of drugs recommended by using the PFP approach|Number of patients for which the treatment recommendation issued by PFP were followed by the investigator","Luxembourg Institute of Health|Integrated Biobank of Luxembourg|Laboratoire National de Santé (Luxembourg)|Centre Hospitalier du Luxembourg|Hopitaux Robert Schuman (Luxembourg)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PFP-001","March 11, 2019","December 1, 2020","March 30, 2021","June 25, 2019",,"May 1, 2020","Centre hospitalier de Luxembourg, Luxembourg, Luxembourg|Hôpitaux Robert Schmuan, Luxembourg, Luxembourg",,"https://ClinicalTrials.gov/show/NCT03997617"
39,"NCT02765165","Phase 1/2 Study of USL311 Alone and in Combination With Lomustine in Subjects With Advanced Solid Tumors and Relapsed/Recurrent Glioblastoma Multiforme (GBM)",,"Recruiting","No Results Available","Solid Tumors (Phase 1)|Relapsed/Recurrent GBM (Phase 2)","Drug: USL311|Drug: Lomustine","Phase 1: Maximum tolerated dose (MTD) and recommended Phase 2 dose (RP2D)|Phase 2: Percentage progression free survival (PFS) at 6 months (PFS-6m)|Phase 1 and Phase 2: Treatment-related adverse events as assessed by CTCAE v4.03|Phase 1 and Phase 2: Overall survival (OS)|Phase 1 and Phase 2: Progression free survival (PFS)|Phase 1 and Phase 2: Objective response rate (ORR%)|Phase 1 and Phase 2: Peak concentration (Cmax)|Phase 1 and Phase 2: Time to peak concentration (Tmax)|Phase 1 and Phase 2: Area under the concentration vs time curve (AUC)","Proximagen, LLC","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","120","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P311-201","April 2016","September 2022",,"May 6, 2016",,"May 10, 2019","Washington University, Saint Louis, Missouri, United States|University of Oklahoma Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|University of Texas/MD Anderson Cancer Center, Houston, Texas, United States|South Texas Accelerated Research Therapeutics (START), San Antonio, Texas, United States|UT Health San Antonio Cancer Center, San Antonio, Texas, United States|South Texas Accelerated Research Therapeutics (START) - CIOCC, Madrid, Spain|South Texas Accelerated Research Therapeutics (START) - FJD, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02765165"
40,"NCT02766699","A Study to Evaluate the Safety, Tolerability and Immunogenicity of EGFR(V)-EDV-Dox in Subjects With Recurrent Glioblastoma Multiforme (GBM)","CerebralEDV","Recruiting","No Results Available","Glioblastoma|Astrocytoma, Grade IV","Drug: EGFR(V)-EDV-Dox","Safety outcome measures|Efficacy outcome measure|Identification of a recommended Phase 2 dose (RP2D) of EGFR(V)-EDV-Dox in subjects with recurrent GBM|Overall survival outcome measure.","Engeneic Pty Limited|Johns Hopkins University","All","18 Years and older   (Adult, Older Adult)","Phase 1","20","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ENG7","October 25, 2016","December 2019","June 2020","May 10, 2016",,"August 29, 2019","John Hopkins Hospital, Baltimore, Maryland, United States|Lenox Hill Hospital, Northwell Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT02766699"
41,"NCT03782415","Study to Evaluate Ibudilast and TMZ Combo Treatment in Recurrent GBM",,"Recruiting","No Results Available","Glioblastoma|Recurrent Glioblastoma|GBM|Recurrent GBM","Drug: MN-166|Drug: Temozolomide","Determine Progression-free survival pf patients at 6 months|Safety Evaluation (Adverse events or discontinuation due to Dose limiting toxicities)|Maximum tolerated dose determination","MediciNova","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","50","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","MN-166-GBM-1201","December 29, 2018","December 2021","December 2022","December 20, 2018",,"January 22, 2020","Dana Farber Cancer Institute, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03782415"
42,"NCT02394626","Surgery for Recurrent Glioblastoma","RESURGE","Recruiting","No Results Available","Glioblastoma","Procedure: Surgery followed by adjuvant second-line therapy|Procedure: Second-line therapy alone","Overall survival from the date of inclusion|Recruitment rate for all screened patients|Progression-free survival|Morbidity of surgery|Total number of days spent at home after recurrence|Total number of days spent outside home after recurrence","University Hospital Inselspital, Berne|European Organisation for Research and Treatment of Cancer - EORTC","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","368/14","May 2015","October 2021","October 2021","March 20, 2015",,"March 25, 2020","Universitätsklinikum Innsbruck, Innsbruck, Austria|Helios Klinikum Erfurt, Erfurt, Germany|Department of Neurosurgery, Universitätsklinikum Frankfurt, Frankfurt, Germany|Dep. of Neurosurgery, Universitätsklinikum Freiburg, Freiburg, Germany|Universitätsklinikum Gießen und Marburg, Giessen, Germany|Department of Neurosurgery, Universitätsklinikum Köln, Köln, Germany|Universitätsmedizin der Johannes Gutenberg-Universität Mainz, Mainz, Germany|Universitätsklinikum Münster, Münster, Germany|Department of Neurosurgery, Hospital of Larissa & General Hospital of Larissa, Larissa, Greece|Department of Neurosurgery, AHEPA University Hospital, Thessaloníki, Greece|Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta, Milano, Italy|Department of Neurosurgery, Centro Hospitalar Universitário Lisboa Norte - Hospital de Santa Maria, Lisboa, Portugal|Department of Neurosurgery, Spitalul Clinic De Urgență ""Bagdasar-Arseni"", Bucharest, Romania|Kantonsspital Aarau, Aarau, Switzerland|Universitätsspital Basel, Basel, Switzerland|Dep. of Neurosurgery, Bern University Hospital, Bern, Switzerland|Dep. of Neurosurger, Hôpitaux Universitaires de Genève, Geneva, Switzerland|Dep. of Neurosurgery, Centre hospitalier universitaire vaudois, Lausanne, Switzerland|Ospedale Regionale di Lugano, Lugano, Switzerland|Kantonsspital Luzern, Luzern, Switzerland|Department of Neurosurgery, Kantonsspital St. Gallen, Saint Gallen, Switzerland|Dep. of Neurosurgery, University Hospital of Zurich, Zurich, Switzerland",,"https://ClinicalTrials.gov/show/NCT02394626"
43,"NCT02062827","Genetically Engineered HSV-1 Phase 1 Study for the Treatment of Recurrent Malignant Glioma","M032-HSV-1","Recruiting","No Results Available","Recurrent Glioblastoma Multiforme|Progressive Glioblastoma Multiforme|Anaplastic Astrocytoma or Gliosarcoma","Biological: M032 (NSC 733972)","Highest safe dose/MTD (maximum tolerated dose) or maximally planned dose if no dose-limiting toxicity observed|Time to progression assessment|The time of survival assessment|The time of biologic assessment","University of Alabama at Birmingham","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UAB-1317","September 2014","September 2021","September 2023","February 14, 2014",,"April 7, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT02062827"
44,"NCT02678975","Disulfiram in Recurrent Glioblastoma",,"Recruiting","No Results Available","Glioma|Glioblastoma","Drug: Disulfiram|Dietary Supplement: Copper|Drug: Alkylating Agents","Survival 6 mo|Progression free survival|Survival 12 and 24 mo|Median overall survival|Health related quality of life|Volumetric tumor assessment|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0","Sahlgrenska University Hospital, Sweden|St. Olavs Hospital|Lund University Hospital|Karolinska University Hospital|University Hospital, Linkoeping|Region Örebro County|Ryhov County Hospital|Uppsala University Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","142","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","no ID yet","January 2017","December 2021","September 2023","February 10, 2016",,"April 4, 2019","Cancer Clinic, St.Olavs University Hospital, Trondheim, Norway|Dept. of Oncology, Sahlgrenska University Hospital, Gothenburg, Sweden|Ryhov County Hospital, Jönköping, Sweden|Linköping University Hospital, Linkoping, Sweden|Lund University Hospital, Lund, Sweden|Karolinska University Hospital, Stockholm, Sweden|Uppsala University Hospital, Uppsala, Sweden|Örebro University Hospital, Örebro, Sweden",,"https://ClinicalTrials.gov/show/NCT02678975"
45,"NCT03970447","A Trial to Evaluate Multiple Regimens in Newly Diagnosed and Recurrent Glioblastoma","GBM AGILE","Recruiting","No Results Available","Glioblastoma","Drug: Temozolomide|Drug: Lomustine|Drug: Regorafenib|Radiation: Radiation","Overall Survival (OS)|Progression-free survival (PFS)|Tumor Response|Duration of Response (CR + PR)","Global Coalition for Adaptive Research|Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","550","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GCAR-7213","July 30, 2019","December 2022","December 2022","May 31, 2019",,"May 4, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States|Sylvester Comprehensive Cancer Center, Miami, Florida, United States|Moffitt Cancer Center, Tampa, Florida, United States|Piedmont Atlanta Hospital, Atlanta, Georgia, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|LSU Health Sciences Center - New Orleans, New Orleans, Louisiana, United States|Henry Ford Health System, Detroit, Michigan, United States|Abbott Northwestern Hospital, Minneapolis, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Washington University School of Medicine - Siteman Cancer Center, Saint Louis, Missouri, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Columbia University Medical Center, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|University of Pittsburgh Medical Center - Hillman Cancer Center, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina - Hollings Cancer Center, Charleston, South Carolina, United States|Texas Oncology - Austin, Austin, Texas, United States|University of Texas - MD Anderson Cancer Center, Houston, Texas, United States|University of Utah - Huntsman Cancer Institute, Salt Lake City, Utah, United States|Froedtert Hospital/Medical College of Wisconsin, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT03970447"
46,"NCT03027388","Protein Phosphatase 2A Inhibitor, in Recurrent Glioblastoma",,"Recruiting","No Results Available","Astrocytoma, Grades II, III and IV|Glioblastoma Multiforme|Giant Cell Glioblastoma|Glioma|Oligodendrogliomas","Drug: LB-100","Drug Level in tumor tissue|Plasma concentration and calculated LB100|Concentration of LG100 and its major metabolite LB100 in glioblastoma tumor tissue|Relationship between drug concentration at the site of action and the resulting effect and the presence of correlation to identify predictive markers.|Changes in phospho-protein expression in circulating PBMC","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","20","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","170037|17-C-0037","May 9, 2019","August 30, 2021","August 30, 2021","January 23, 2017",,"April 20, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03027388"
